Symbol,sys_name,SGD,WT_SSL,WT_HL,CBC_SSL,CBC1_HL,RRP6_SSL,RRP6-HL
RPS25A,YGR027C ,YGR027C ,8887.9,86.87,8408.1,54.72,8468,67.92
MSP1,YGR028W ,YGR028W ,702.8,53.28,1048.5,88.91,648.3,N.A.
ERV1,YGR029W ,YGR029W ,1515.4,17.38,632.3,19.41,784.2,15.47
ERV1,YGR029W ,YGR029W ,605.7,17.41,274.6,62.8,536.1,30.02
ERV1,YGR029W ,YGR029W ,700.3,19.87,349.9,24.47,565.5,29.14
POP6,YGR030C ,YGR030C ,221.4,11.43,229.1,16.37,238.9,21.43
NA,YGR031W ,YGR031W ,345.9,12.06,457.9,16.31,398.1,27.6
GSC2,YGR032W ,YGR032W ,225.3,18.86,652.3,17.64,1306.3,40.92
NA,YGR033C ,YGR033C ,688.4,16.25,768.2,33.31,932.9,33.72
NA,YGR035C ,YGR035C ,517.1,7.5,298.6,59.54,1095.1,8.25
CAX4,YGR036C ,YGR036C ,48.1,50.48,83.5,12.83,63.5,18.03
ACB1,YGR037C ,YGR037C ,10358,21.33,12540.2,29.85,7528.6,19.65
ORM1,YGR038W ,YGR038W ,2086,18.58,2213.8,26.52,1541.9,48.82
NA,YGR039W ,YGR039W ,87.3,18.3,95.8,722.25,112.5,34.68
KSS1,YGR040W ,YGR040W ,114.4,7.07,138.8,25.06,144.8,20.91
BUD9,YGR041W ,YGR041W ,479.9,7.25,415,16.15,351.6,8.03
NA,YGR042W ,YGR042W ,144,21.62,202.9,24.96,210.4,17.57
NA,YGR043C ,YGR043C ,96.3,N.A.,463.6,95.95,185.9,N.A.
RME1,YGR044C ,YGR044C ,1077.8,27.5,1137.6,142.93,529.4,53.74
NA,YGR045C ,YGR045C ,96.8,88.47,135,31.69,196.4,966.61
NA,YGR046W ,YGR046W ,82.2,28.97,172.4,17.9,135.9,34.64
TFC4,YGR047C ,YGR047C ,380,15.55,402.7,15.47,314,32.11
UFD1,YGR048W ,YGR048W ,246.4,36.26,338,43.42,407.2,112.16
SCM4,YGR049W ,YGR049W ,1197.5,14.78,1372.3,29.88,918.9,14.95
